Author,Description,Gener,title
Pandey Ajay K.,"Summary of the BookHer Last Wish is an inspiring tale of love and heartbreak and it tests a man’s resilience after his girlfriend is diagnosed with a fatal disease. Vijay, who is overburdened with his father’s over expectations, finds love and luck when Aastha enters his life, eventually becoming his sole source of happiness in life. However, fate has other plans for him as she is diagnosed with a life-threatening disease. He takes it upon himself to fight for her life against all odds. In the process, his father also eventually sees his son struggling and joins him in the race against time and odds. Will they emerge victorious in this battle of life-and-death?About the AuthorAjay K Pandey is an Indian author who is known for his two bestselling novels - You are the Best Wife and Her Last Wish. Pandey is currently working for an IT company in Ghaziabad. Pandey married his college classmate and lover, Bhavana, in the year 2010. She passed away due to Septicemia. His first novel was written as a tribute to his wife. He has taken inspiration from real-life events to write his first novel which became a bestseller soon after it was published. ",Fiction ,"Her Last Wish,  (English, Paperback, Pandey Ajay K.)"
Dav Pilkey,"When a new bunch of baddies busts up the town, Dog Man is called into action, and this time he isn't alone. With a cute kitten and a remarkable robot by his side, our heroes must save the day by joining forces with an unlikely ally: Petey, the World's Most Evil Cat. But can the villainous Petey avoid vengeance and venture into virtue?",Graphic Novel ,"Dog Man - Lord of the Fleas,  (English, Hardcover, Dav Pilkey)"
Om Books,"The 101 series is an exciting collection of stories, facts, folklore and more. The fascinating illustrations are a visual treat and sure to delight the readers.",128,"101 Panchatantra Stories HB,  (Hardcover, Om Books)"
Jeff Kinney,"The first activity book from the Diary of a Wimpy Kid franchise, this Do-It-Yourself book encourages readers to exercise their own skills as a master diary writer. Written in the trademark style of the Wimpy Kid books, this activity book combines quizzes, mazes, drawings and comic strips.Summary Of The BookThe Wimpy Kid: Do-It-Yourself Book was designed as a supplementary book to the series, as it does not contain any storyline, but instead endears itself both as an activity book and a personal diary for readers. Designed by the author, Jeff Kinney, it holds the same allure as that of the Wimpy Kid franchise in terms of design and the choice of literature that goes into this colorful and fun do-it-yourself avatar.The book is divided into two sections where the first is completely engrossed in dabbling in all activities that is popular among children. The first section allows readers to develop their reasoning skills through the use of puzzles, personality questions and current affairs quizzes. It also seeks to address the artistic inclination of the reader through a number of drawing exercises.Before the book moves on to the second section, Jeff Kinney has incorporated 16 pages of full color comic strips in between the first and second section. Here the popular characters of “Creighton the Cretin” and “Lil’ Cutie” are included with all their lovable eccentricities.The second part of the book is dedicated to the “What’s Your Story” section, where readers are stimulated into retaining their own journal in the vibrant Wimpy Kid style. The blank pages feature boxes for readers to write, draw and make their own characters and stories. The book contains content from the other books in the franchise. This includes the Zoo-Wee-Mama and The Fart Police comics as created by Greg himself.This activity book is design oriented and therefore works as a great Do-It-Yourself book. The book was published in 2011 by Penguin.About Jeff KinneyJeff Kinney is a popular American author, cartoonist and a game designer. Few of his books include Diary of a Wimpy Kid: The Last Straw, Diary of a Wimpy Kid: The Ugly Truth, Diary of a Wimpy Kid: The Third Wheel, and Diary of a Wimpy Kid: Rodrick Rules.He grew up in Maryland and while attending college created the popular comic strip, Igdoof. He is the creator of the Diary Of A Wimpy Kid series that went on to earn commercial and critical acclaim. It had been on the New York Times “Series Books” best seller lists for 64 weeks and has sold over 75 million copies in over 30 countries. He is also a game designer and is the creator of the website, Poptropica for children. Three films have been released based on his Diary Of A Wimpy Kid series. He is married to Julie and they live in Massachusetts.",Juvenile Fiction  ,"The Wimpy Kid Do -It- Yourself Book,  (English, Paperback, Jeff Kinney)"
Khushwant Singh,"A vast, erotic, irreverent magnum opus on the city of Delhi. As we accompany the principal narrator�a bawdy, ageing reprobate�on his epic journey, we find the city of emperors transformed and immortalized in our minds forever.About the Author""Khushwant Singh was India�s best-known writer and columnist. He was the founder-editor of Yojana and editor of the Illustrated Weekly of India, the National Herald and Hindustan Times. He is the author of classics such as Train to Pakistan, I Shall Not Hear the Nightingale and Delhi. His latest novel, The Sunset Club, written when he was ninety-five, was published by Penguin Books in 2010. His non-fiction includes the classic two-volume A History of the Sikhs, a number of translations and works on Sikh religion and culture, Delhi, nature, current affairs and Urdu poetry. His autobiography, Truth, Love and a Little Malice, was published by Penguin Books in 2002.Khushwant Singh was a member of Parliament from 1980 to 1986. He was awarded the Padma Bhushan in 1974, but returned the decoration in 1984 in protest against the storming of the Golden Temple in Amritsar by the Indian army. In 2007, he was awarded the Padma Vibhushan.Among the other awards he has received are the Punjab Ratan, the Sulabh International award for the most honest Indian of the year, and honorary doctorates from several universities. He passed away in 2014 at the age of ninety-nine.""",Indian Writing  ,"Delhi - A Novel,  (English, Paperback, Khushwant Singh)"
Elizabeth Rudnick,"Belle dreams of adventures like the ones she reads about in her books-until she becomes the prisoner of a fearsome Beast in a mysterious, enchanted castle. But life in the castle isn't as terrible as Belle imagines and soon she realizes there is more to the Beast than first meets the eye. Experience this tale as old as time about adventure and love, about looking past first appearances, about the inner Beauty and Beast in all of us. Disney Beauty and the Beast Book of the Film is based on the live-action film starring Emma Watson.About the Author -Elizabeth Rudnick Is a debut novelist, a part-time waitress, a full - time writer and a pop-culture aficionado (a fancy way of saying she watches a lot of television and read Way too many gossip magazines and blogs!).",Literature & Fiction  ,"Disney - Beauty and the Beast - Book of the Film,  (English, Paperback, Elizabeth Rudnick)"
Daniel Defoe,"Fleeing From Pirates, Robinson Crusoe Is Swept Ashore In A Storm, With Only A Knife, A Box Of Tobacco, A Pipe And The Will To Survive.. Robinson Crusoe Is The Saga Of A Man Alone: A Man Who. Overcomes Self-Pity And Despair To Reconstruct His Life. In His Journal He Chronicles His Daily Battle To Stay Alive, As He Conquers Isolation, Fashions Shelter And Clothes, First Encounters Another Human Being And Fights Off Cannibals. And Mutineers.. With Robinson Crusoe, Defoe Wrote What Is Regarded. As The First English Novel, And Created One Of The Most Popular And Enduring Myths In Literature. But Above All, It Is A Brilliant Narrative, Depicting Crusoe’S Transformation From A Terrified Survivor To The Self-Sufficient Master Of His Island.",Fiction  ,"Robinson Crusoe,  (English, Hardcover, Daniel Defoe)"
Priyanka Verma,"They say - smaller the trouble, the better it is. This applies appropriately to PINKI, the five-year-old little girl, who is often seen carrying her pet Kut-Kut, the squirrel. This strip was created by cartoonist Pran in 1978. The series became a tremendous hit in short period. . . Many manufactures have used this character on their children goods to promote the sales. The whole neighbourhood of Pinki is scared of menace of her doings. She wants to help uncle Jhapatji busy painting the furniture. """"If you want to help me, go away!"""" He screams. Other characters in the series are, Champu, Bhiku, Didi, Principal Tasmut, PINKI'S parent and grand parents.""",Comics & Graphic Novels  ,"Pinki Aur Muchaad Singh,  (Hindi, Paperback, Priyanka Verma)"
Yoshinaka Shirley,"Following the Paris opera house disaster, Erik, the charismatic and disfigured man known as the Phantom, settled into a secluded home on the outskirts of London. He resigned himself to a life of solitude, but two years later, fate introduced him to a young woman who reawakened his emotions. Although Mellie was a gifted composer, no one took her work seriously. She recognized Erik's brilliance and was desperate for his help. Drawn to both the man and his talent, she made a bold proposition, and he accepted. Together, they forged a unique partnership that became the talk of London society. But when Erik's past returned to haunt him, he could lose everything he'd gained in his new life - including Mellie. Deception is a tale of loss, healing, and ultimately of love.",Fiction  ,"Deception: A Phantom of the Opera Novel,  (English, Paperback, Yoshinaka Shirley)"
Herge,"The Belgian reporter Tintin involuntarily joins his friends Captain Haddock and Professor Calculus in an adventure in the jungle of San Theodoros. Tintin and the Picaros is the last completed work of Herge.Summary of the BookDespite his instinct telling him not to go, Tintin decides to join Captain Haddock and Professor Calculus as they go to help General Alcazar and his band of guerillas, the Picaros, in the jungle of San Theodoros. Tintin has grown bored with adventures, and he dreams of a calm life at home. However, he must help the General free Bianca Castafiore, her maid Irma, pianist Igor Wagner and Thomson and Thompson who have been imprisoned in the jungle for supposedly attempting to overthrow the dictatorship of General Tapioca. Now, General Alcazar hopes to dethrone his rival yet again and take back control over the region.About HergeGeorges Prosper Remi, better known as Hergé, was a Belgian cartoonist best known for creating the characters in the Tintin comics series. He completed 23 books in the series and is best remembered for Tintin in Tibet and Prisoners of the Sun.After working for a brief stint at various newspapers, he started serialization of the Tintin stories in 1929. He is considered to have greatly influenced the world of comics, majorly European comics, and was included in the Harvey Award Jack Kirby Hall of Fame and the Eisner Award Hall of Fame as the Judge's choice. The Tintin series has since been adapted into two TV series, one radio series and five full-length movies, including a 2011 hit movie directed by Steven Spielberg.","9781405208239, 1405208236  ","Tintin : Tintin and the Picaros,  (English, Hardcover, Herge)"
