Author,Description,Gener,title
,,,
Pandey Ajay K.,"Summary of the BookHer Last Wish is an inspiring tale of love and heartbreak and it tests a man’s resilience after his girlfriend is diagnosed with a fatal disease. Vijay, who is overburdened with his father’s over expectations, finds love and luck when Aastha enters his life, eventually becoming his sole source of happiness in life. However, fate has other plans for him as she is diagnosed with a life-threatening disease. He takes it upon himself to fight for her life against all odds. In the process, his father also eventually sees his son struggling and joins him in the race against time and odds. Will they emerge victorious in this battle of life-and-death?About the AuthorAjay K Pandey is an Indian author who is known for his two bestselling novels - You are the Best Wife and Her Last Wish. Pandey is currently working for an IT company in Ghaziabad. Pandey married his college classmate and lover, Bhavana, in the year 2010. She passed away due to Septicemia. His first novel was written as a tribute to his wife. He has taken inspiration from real-life events to write his first novel which became a bestseller soon after it was published. ",Fiction ,"Her Last Wish,  (English, Paperback, Pandey Ajay K.)"
,,,
Dav Pilkey,"When a new bunch of baddies busts up the town, Dog Man is called into action, and this time he isn't alone. With a cute kitten and a remarkable robot by his side, our heroes must save the day by joining forces with an unlikely ally: Petey, the World's Most Evil Cat. But can the villainous Petey avoid vengeance and venture into virtue?",Graphic Novel ,"Dog Man - Lord of the Fleas,  (English, Hardcover, Dav Pilkey)"
,,,
,,"9780143420569, 0143420569 ","Mera Racket Meri Duniya,  (Hindi, Paperback, Saina Nehwal, Shishuraj Yadav)"
,,,
Om Books,"The 101 series is an exciting collection of stories, facts, folklore and more. The fascinating illustrations are a visual treat and sure to delight the readers.",128,"101 Panchatantra Stories HB,  (Hardcover, Om Books)"
,,,
Jeff Kinney,"The first activity book from the Diary of a Wimpy Kid franchise, this Do-It-Yourself book encourages readers to exercise their own skills as a master diary writer. Written in the trademark style of the Wimpy Kid books, this activity book combines quizzes, mazes, drawings and comic strips.Summary Of The BookThe Wimpy Kid: Do-It-Yourself Book was designed as a supplementary book to the series, as it does not contain any storyline, but instead endears itself both as an activity book and a personal diary for readers. Designed by the author, Jeff Kinney, it holds the same allure as that of the Wimpy Kid franchise in terms of design and the choice of literature that goes into this colorful and fun do-it-yourself avatar.The book is divided into two sections where the first is completely engrossed in dabbling in all activities that is popular among children. The first section allows readers to develop their reasoning skills through the use of puzzles, personality questions and current affairs quizzes. It also seeks to address the artistic inclination of the reader through a number of drawing exercises.Before the book moves on to the second section, Jeff Kinney has incorporated 16 pages of full color comic strips in between the first and second section. Here the popular characters of “Creighton the Cretin” and “Lil’ Cutie” are included with all their lovable eccentricities.The second part of the book is dedicated to the “What’s Your Story” section, where readers are stimulated into retaining their own journal in the vibrant Wimpy Kid style. The blank pages feature boxes for readers to write, draw and make their own characters and stories. The book contains content from the other books in the franchise. This includes the Zoo-Wee-Mama and The Fart Police comics as created by Greg himself.This activity book is design oriented and therefore works as a great Do-It-Yourself book. The book was published in 2011 by Penguin.About Jeff KinneyJeff Kinney is a popular American author, cartoonist and a game designer. Few of his books include Diary of a Wimpy Kid: The Last Straw, Diary of a Wimpy Kid: The Ugly Truth, Diary of a Wimpy Kid: The Third Wheel, and Diary of a Wimpy Kid: Rodrick Rules.He grew up in Maryland and while attending college created the popular comic strip, Igdoof. He is the creator of the Diary Of A Wimpy Kid series that went on to earn commercial and critical acclaim. It had been on the New York Times “Series Books” best seller lists for 64 weeks and has sold over 75 million copies in over 30 countries. He is also a game designer and is the creator of the website, Poptropica for children. Three films have been released based on his Diary Of A Wimpy Kid series. He is married to Julie and they live in Massachusetts.",Juvenile Fiction  ,"The Wimpy Kid Do -It- Yourself Book,  (English, Paperback, Jeff Kinney)"
,,,
Danielle Steel,,Fiction  ,"Legacy: A Novel,  (English, Paperback, Danielle Steel)"
,,,
"Torry Ramon, Terrance",,Fiction  ,"Memories, Light, & Promise - A Novel Inspired by a True Story of Love.,  (English, Paperback, Torry Ramon, Terrance)"
,,,
Levy Marc,,Fiction  ,"P.S. from Paris (UK edition) - A Novel,  (English, Paperback, Levy Marc)"
,,,
