Author,Description,Gener,title
Pandey Ajay K.,"Summary of the BookHer Last Wish is an inspiring tale of love and heartbreak and it tests a manÄôs resilience after his girlfriend is diagnosed with a fatal disease. Vijay, who is overburdened with his fatherÄôs over expectations, finds love and luck when Aastha enters his life, eventually becoming his sole source of happiness in life. However, fate has other plans for him as she is diagnosed with a life-threatening disease. He takes it upon himself to fight for her life against all odds. In the process, his father also eventually sees his son struggling and joins him in the race against time and odds. Will they emerge victorious in this battle of life-and-death?About the AuthorAjay K Pandey is an Indian author who is known for his two bestselling novels - You are the Best Wife and Her Last Wish. Pandey is currently working for an IT company in Ghaziabad. Pandey married his college classmate and lover, Bhavana, in the year 2010. She passed away due to Septicemia. His first novel was written as a tribute to his wife. He has taken inspiration from real-life events to write his first novel which became a bestseller soon after it was published.†",Fiction ,Her Last Wish
Elizabeth Rudnick,"Belle dreams of adventures like the ones she reads about in her books-until she becomes the prisoner of a fearsome Beast in a mysterious, enchanted castle. But life in the castle isn't as terrible as Belle imagines and soon she realizes there is more to the Beast than first meets the eye. Experience this tale as old as time about adventure and love, about looking past first appearances, about the inner Beauty and Beast in all of us. Disney Beauty and the Beast Book of the Film is based on the live-action film starring Emma Watson.About the Author -Elizabeth Rudnick Is a debut novelist, a part-time waitress, a full - time writer and a pop-culture aficionado (a fancy way of saying she watches a lot of television and read Way too many gossip magazines and blogs!).",Literature & Fiction  ,Disney - Beauty and the Beast - Book of the Film
Daniel Defoe,"Fleeing From Pirates, Robinson Crusoe Is Swept Ashore In A Storm, With Only A Knife, A Box Of Tobacco, A Pipe And The Will To Survive.. Robinson Crusoe Is The Saga Of A Man Alone: A Man Who. Overcomes Self-Pity And Despair To Reconstruct His Life. In His Journal He Chronicles His Daily Battle To Stay Alive, As He Conquers Isolation, Fashions Shelter And Clothes, First Encounters Another Human Being And Fights Off Cannibals. And Mutineers.. With Robinson Crusoe, Defoe Wrote What Is Regarded. As The First English Novel, And Created One Of The Most Popular And Enduring Myths In Literature. But Above All, It Is A Brilliant Narrative, Depicting CrusoeÄôS Transformation From A Terrified Survivor To The Self-Sufficient Master Of His Island.",Fiction  ,Robinson Crusoe
Yoshinaka Shirley,"Following the Paris opera house disaster, Erik, the charismatic and disfigured man known as the Phantom, settled into a secluded home on the outskirts of London. He resigned himself to a life of solitude, but two years later, fate introduced him to a young woman who reawakened his emotions. Although Mellie was a gifted composer, no one took her work seriously. She recognized Erik's brilliance and was desperate for his help. Drawn to both the man and his talent, she made a bold proposition, and he accepted. Together, they forged a unique partnership that became the talk of London society. But when Erik's past returned to haunt him, he could lose everything he'd gained in his new life - including Mellie. Deception is a tale of loss, healing, and ultimately of love.",Fiction  ,Deception: A Phantom of the Opera Novel
David Michie," 'Wouldn 't it be wonderful if newspapers did more to share stories and insights that were really meaningful? Things that might help people lead more purposeful lives. ' The Queen glanced over at him, uncertainly. 'Tricky business, persuading the media to lift their sights from terror and trivia. Every one of us has tried. ' Pushing myself up so that I was balancing on my rear end, I fixed Kate with a pleading expression. She was a soft touch when it came to scones. There was a pause while the family glanced in my direction. Before Kate said, 'Well, not every family member. 'Rescued from unscrupulous breeders who plan to destroy him because of his floppy ear, when the Queen 's littlest corgi arrives at Windsor Castle, he finds himself in a world of red carpets, gilded chambers - and not a pile of dirty laundry to be seen.Charming his way into the affections of the royal household, Nelson offers a dog 's-eye view of life with the Queen. He eavesdrops on her encounters with celebrities, philanthropists and advisers, catching rare insights into the secrets of a purposeful life. Through one of Her Majesty 's most mysterious advisers, he discovers how the ancient ways and powerful symbols continue to exert a transformative presence. He also becomes familiar with the Queen 's most surprising quality: her gentle but firm expectation that everyone she encounters is striving to be the best that they can be.The Queen 's Corgi bursts with zest, humour and adventure. Romping through the litany of Nelson 's misdemeanours are a warm-heartedness and deep wisdom sure to delight anyone who has known the smiling face and warm tongue of a dog. It is not by chance that you hold this book in your hands.""In the tradition of David Michie's bestselling The Dalai Lama's Cat series, this charming, poignant and humorous novel about a dog's life with the royal family packs a deceptively powerful punch as it offers profound life lessons that will leave the reader transformed at a deeper level.""- Ingrid King, award winning author of Buckley's Story and publisher of The Conscious Cat.""Narrated by a plucky pup of humble beginnings, The Queen's Corgi offer's a delightful dogs-eye-view of the most famous royal residence in the world. A tail-wagging treat!""- Julia Williams, CANIDAE RPO Blog Editor""Delightfully engaging and with an intriguing mystical flavour, this book not only entertains - it also takes us on a fascinating inner journey. David weaves in wise nuggets of wisdom which will make you stop, ponder and want to apply to your own life. Another glorious book from David Michie!""- Tara Taylor, Intuitive Counselor, Motivational Speaker and Hay House Author of Through Indigo's Eyes series.""Readers who fell in love with The Dalai Lama's Cat, the wise and shining feline star of the book series, have new cause for happiness: a charming new""rags to royalty"" book by David Michie featuring a dog as the narrator - and an all-access pass for behind-the-scenes palace life.""- Layla Morgan Wilde, founder and editor of Cat Wisdom.""The Queen 's Corgi captives from first page to last as the adorable puppy escapes death, and is carried into Windsor Castle to begin life as a royal corgi. David Michie 's compelling writing style will keep you turning the pages of this heart-warming book with an understanding of dogs and the mysteries of life. Dog lovers of all ages will fall in love with The Queen 's Corgi. Highly Recommended!""- Darlene Arden, Author of Small Dogs, Big Hearts: A Guide to Caring for your Little Dog.",Fiction  ,The Queen's Corgi - On Purpose - A Novel
Jeph Loeb,"The Long Halloween is one of the best works that has come out from the collaboration of Joseph Loeb and Tim Sale. The story is set around mobsters being murdered during the Holidays and this volume also sees the major transition in Harvey DentÄôs character, from Gotham cityÄôs district attorney to Two-Face.Summary of the BookTaking place during Batman's early days of crime fighting, this edition of the classic mystery is the story of a killer who murders his prey only on holidays. Batman races against time as he tries to find the notorious Holiday working with Harvey Dent and Lieutenant James Gordon. The story also sees the transformation of Harvey dent into, Two-Face.About Jeph†LoebJeph Loeb is an award-winning comic writer and a famous American film writer and producer. He is a four-time Eisner Award winner and five-time Wizard Fan Awards winner. He has worked on major characters like Hulk, Spider man, Iron Man, Daredevil, and the Avengers, most of it in collaboration with Tim Sale.",Comics & Graphic Novels  ,Batman: The Long Halloween
Goscinny Rene,"Asterix and the Vikings is the movie-tie-in adaptation of the eponymous film based on the characters created by Uderzo and Goscinny.Summary of the BookThe Vikings are the bravest warriors in the world. They are so brave that they do not know the meaning of fear. They soon discover that this is a handicap, because everyone knows that fear gives wings. If they are to learn the secrets of flight, they need to discover the meaning of fear. They begin a great quest to find a race of people who can teach them the meaning of fear, but little do they realize that their desires are about to be fulfilled, for on their course, they are due for a run in with a bunch of crazy Gauls who have been giving good old Julius Caesar a run for his money.About the AuthorsThe names of Albert Uderzo and Ren√© Goscinny are nearly inseparable from the bestselling series they created early in their career. They have received many accolades for their work, and the Asterix series has been translated into many languages around the world.This book is based on the script of the eponymous film which was adapted from Asterix and the Normans.",Comics & Graphic Novels  ,Asterix: Asterix and the Vikings
Sun Jomny,"everyone's a aliebn when ur a aliebn too is the illustrated story of a lonely alien sent to observe Earth, only to meet all sorts of creatures with all sorts of perspectives on life, love, and happiness, all while learning to feel a little better about being an alien-based on the enormously popular Twitter account, @jonnysun. Here is the unforgettable story of Jomny, a lonely alien who, for the first time ever, finds a home on our planet after learning that earthlings can feel lonely too. Jomny finds friendship in a bear tired of other creatures running away in fear, an egg struggling to decide what to hatch into, an owl working its way to being wise, a tree feeling stuck in one place, a tadpole coming to terms with turning into a frog, a dying ghost, a puppy unable to express itself, and many more. Through this story of a lost, lonely and confused alien finding friendship, acceptance, and love among the creatures of Earth, we will all learn how to be a little more human. And for all of us earth-bound creatures here on this planet, we can all be reminded that sometimes, it takes an outsider to help us see ourselves for who we truly are.",Comics & Graphic Novels  ,Everyone's a Aliebn When Ur a Aliebn Too
Priyanka Verma,"Chacha Chaudhary is a middle class Indian, frail but an extremely intelligent old man. . Chacha Chaudhary's attire includes his red turban, a wooden stick, a waistcoat with a double inside pocket and a pocket watch. His household consists of his wife Bini (Chachi), a faithful street dog called Rocket and a giant alien from Jupiter named Sabu. Chacha Chaudhary enjoys eating watermelon with relish but mangoes are his weakness and takes off for a walk with Sabu and Rocket, whenever Chachi nags him. When he takes off his turban, it is shown that he is completely bald. Everybody in town knows that whenever Chacha Chaudhary goes out with his family, he never locks the door of his house; but nobody has been successful in robbing his house. However, in certain stories, Chachi(his wife) has been seen locking the house. Sometimes his head or nose itches when any trouble is going to happen. t is said that "" Chacha Chaudhary's brain works faster than a computer"".",Comics & Graphic Novels  ,Chacha Chaudhary and Prof Bad
Gaiman Neil,"wenty-five years since THE SANDMAN first changed the landscape of moderncomics, Neil Gaiman's legendary series is back in a deluxe hardcoveredition! THE SANDMAN: OVERTURE heralds New York Times best-selling writerNeil Gaiman's return to the art form that made him famous, ably abetted byartistic luminary JH Williams III (BATWOMAN, PROMETHEA), whose lush, widescreenimages provide an epic scope to The Sandman's origin story. From the birth of agalaxy to the moment that Morpheus is captured, THE SANDMAN: OVERTURE willfeature cameo appearances by fan-favorite characters such as The Corinthian,Merv Pumpkinhead and, of course, the Dream King's siblings: Death, Desire,Despair, Delirium, Destruction and Destiny.",Comics & Graphic Novels  ,The Sandman Overture Deluxe Edition
